mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.3223098913828533,0.012234840608330745,0.09283717473347981,0.003582530540516882,0.7,2,0.01,200,3,0.1,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 2, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.5451391855166313,0.5379783374933337,0.5420338496079992,0.541717124205988,0.0029319700246763264,3
3.2664476235707602,0.7912549274742355,0.3034427960713704,0.07522187922022228,1.0,1,0.01,300,5,0.01,0.3,0.7,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.5452439735450709,0.5357799805231016,0.5412302773443572,0.5407514104708433,0.003878468434135893,8
3.851105292638143,0.9068740617144408,0.2675744692484538,0.050790057586728374,0.9,3,1.0,500,3,0.05,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 3, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.5443857652896437,0.5360080615245911,0.5393489538982689,0.5399142602375012,0.0034434632311696575,11
2.073547919591268,0.017895351884506874,0.17899314562479654,0.013911385730023448,0.8,1,0.01,200,6,0.1,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.5439430137231808,0.5328530083039621,0.5410177076404995,0.5392712432225474,0.00469287818734973,14
1.2200198968251545,0.009499869360101564,0.08553091684977214,0.002830793461168863,0.7,1,0.01,200,3,0.08,0.5,0.8,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.5443875455965831,0.5355604869542382,0.5412851851193974,0.5404110725567396,0.003656254517763236,9
2.972945213317871,0.7982778231743428,0.2592373689015706,0.03194842622253026,0.8,3,0.5,300,4,0.01,0.0,0.7,"{'subsample': 0.8, 'reg_lambda': 3, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.7}",0.5418135037372229,0.536429420422918,0.5449287934649027,0.5410572392083478,0.0035108201847935147,5
2.420971711476644,0.22754554379412284,0.19594597816467285,0.06753154464073058,1.0,5,0.01,200,6,0.1,0.3,0.8,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.543194080419708,0.5328927386663822,0.5389406644600434,0.5383424945153779,0.004226721814182478,21
1.8096272150675456,0.03470891997816487,0.14238262176513672,0.0075507903745372345,0.8,2,0.01,300,3,0.08,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 2, 'reg_alpha': 0.01, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.08, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.5425318565222614,0.5355890522902108,0.5391421680934728,0.5390876923019817,0.002834649697351092,16
3.0547142028808594,0.0470009787418986,0.3171011606852214,0.016678351694040368,1.0,3,0.0,500,4,0.08,0.0,0.7,"{'subsample': 1.0, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.08, 'gamma': 0, 'colsample_bytree': 0.7}",0.5432607984976837,0.5357839398086194,0.537557866024939,0.5388675347770807,0.0031898043977974,18
2.5808212757110596,0.5235829324965252,0.23829730351765951,0.04197380683422872,1.0,5,0.1,300,6,0.08,0.5,0.9,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.5453395742541134,0.5345131667303805,0.5377638777422659,0.5392055395755867,0.004535898778906279,15
